,umur,gender,occupation,nominal,periode_transaksi,kategori_nominal
504,28,1,Amil,207896,2,Nominal rendah
505,28,0,Amil,194347,2,Nominal rendah
506,28,1,Karyawan,187674,2,Nominal rendah
507,28,1,Amil,195430,2,Nominal rendah
508,28,0,Amil,195349,2,Nominal rendah
511,28,1,Manufaktur,1100000,0,Nominal rendah
512,28,0,Amil,256739,0,Nominal rendah
513,28,0,Inspektorat Bidang Administrasi Umum,420000,0,Nominal rendah
515,28,0,Amil,2900000,0,Nominal rendah
519,28,1,ASN,13550000,2,Nominal diatas rata-rata
520,28,1,Human Resources,235000,2,Nominal rendah
522,28,0,Lain-lain,500000,2,Nominal rendah
523,28,0,Keuangan,250000,2,Nominal rendah
524,28,1,Manufaktur,414000,2,Nominal rendah
532,28,0,Perbankan,277500,2,Nominal rendah
533,28,0,Perbankan,67500,2,Nominal rendah
547,28,1,Manufaktur,312000,2,Nominal rendah
548,28,0,IT,20000,2,Nominal rendah
549,28,1,Karyawan,50000,2,Nominal rendah
550,28,0,Amil,232870,2,Nominal rendah
551,28,0,Lain-lain,384315,2,Nominal rendah
555,28,1,Manufaktur,346000,2,Nominal rendah
556,28,0,Keuangan,403070,2,Nominal rendah
557,28,0,Mahasiswa,50000,2,Nominal rendah
559,28,0,ASN,240000,2,Nominal rendah
563,28,1,Manufaktur,520000,2,Nominal rendah
564,28,1,Amil,175151,2,Nominal rendah
565,28,0,Amil,267801,2,Nominal rendah
566,28,1,Human Resources,156000,2,Nominal rendah
568,28,1,Manufaktur,427000,2,Nominal rendah
569,28,0,ASN,260000,1,Nominal rendah
570,28,0,IT,50000,1,Nominal rendah
571,28,0,Perbankan,67500,1,Nominal rendah
572,28,0,Perbankan,277500,1,Nominal rendah
573,28,0,Keuangan,250000,1,Nominal rendah
575,28,0,Keuangan,45000,1,Nominal rendah
577,28,1,Karyawan,2734000,1,Nominal rendah
578,28,1,Manufaktur,270000,1,Nominal rendah
579,28,1,Amil,45000,1,Nominal rendah
580,28,1,Manufaktur,1585000,1,Nominal rendah
581,28,1,Amil,5000,1,Nominal rendah
583,28,1,Tidak Bekerja,1150000,1,Nominal rendah
584,28,0,Lain-lain,45000,1,Nominal rendah
588,28,1,Manufaktur,425000,2,Nominal rendah
593,28,0,Amil,244514,0,Nominal rendah
594,28,1,Manufaktur,475000,0,Nominal rendah
596,28,0,Inspektorat Bidang Administrasi Umum,124410,0,Nominal rendah
597,28,0,Inspektorat Bidang Administrasi Umum,166418,0,Nominal rendah
599,28,0,Amil,2500001,0,Nominal rendah
602,29,0,Amil,181330,2,Nominal rendah
603,29,1,Pelajar,350000,2,Nominal rendah
605,29,1,Perbankan,195550,2,Nominal rendah
606,29,0,Konsultan Perencanaan Wilayah,110000,2,Nominal rendah
608,29,1,Pelajar,300000,2,Nominal rendah
610,29,1,Property Manjemen,395565,2,Nominal rendah
611,29,1,Perbankan,372350,2,Nominal rendah
612,29,1,Mahasiswi,300000,2,Nominal rendah
613,29,1,Pelajar,250000,2,Nominal rendah
616,29,1,Mahasiswi,325000,2,Nominal rendah
617,29,1,Property Manjemen,905653,2,Nominal rendah
620,29,0,Amil,181330,1,Nominal rendah
621,29,1,Property Manjemen,319119,1,Nominal rendah
622,29,0,Rektor,1500000,1,Nominal rendah
624,29,0,Karyawan,45000,1,Nominal rendah
625,29,1,Mahasiswi,45000,1,Nominal rendah
626,29,1,Mahasiswi,325000,1,Nominal rendah
627,29,1,Amil,100000,1,Nominal rendah
629,29,1,Property Manjemen,45000,1,Nominal rendah
630,29,1,Pelajar,45000,1,Nominal rendah
632,29,1,Property Manjemen,442781,1,Nominal rendah
635,29,0,Amil,360000,1,Nominal rendah
636,29,0,Amil,90000,1,Nominal rendah
637,29,0,mahasiswa,50000,1,Nominal rendah
639,29,1,Karyawan,187649,2,Nominal rendah
640,29,0,Amil,235729,2,Nominal rendah
641,29,0,Amil,199789,2,Nominal rendah
642,29,0,Amil,194037,2,Nominal rendah
643,29,0,Karyawan,180686,2,Nominal rendah
644,29,1,Amil,195430,2,Nominal rendah
645,29,0,Amil,195430,2,Nominal rendah
646,29,1,Property Manjemen,742961,2,Nominal rendah
647,29,1,Mahasiswi,290000,2,Nominal rendah
648,29,1,Pelajar,250000,0,Nominal rendah
649,29,0,Konsultan Perencanaan Wilayah,2900000,0,Nominal rendah
650,29,0,Amil,190397,0,Nominal rendah
651,29,1,Property Manjemen,240450,0,Nominal rendah
653,29,1,Mahasiswi,375000,0,Nominal rendah
655,29,1,Mahasiswi,375000,2,Nominal rendah
656,29,0,Retail,235000,2,Nominal rendah
657,29,1,Mahasiswi,225000,2,Nominal rendah
658,29,0,Tutor,56250,2,Nominal rendah
660,29,0,Karyawan,125000,2,Nominal rendah
661,29,1,Perbankan,188750,2,Nominal rendah
663,29,0,Tutor,68250,2,Nominal rendah
664,29,1,Pelajar,305000,2,Nominal rendah
666,29,0,Konsultan Perencanaan Wilayah,120000,2,Nominal rendah
667,29,1,Property Manjemen,319598,2,Nominal rendah
668,29,1,Property Manjemen,769404,2,Nominal rendah
671,29,1,Lain-lain,50000,2,Nominal rendah
672,29,0,Tutor,172250,2,Nominal rendah
674,29,0,Konsultan Perencanaan Wilayah,101000,2,Nominal rendah
676,29,1,Property Manjemen,322246,2,Nominal rendah
679,29,1,Property Manjemen,278084,2,Nominal rendah
680,29,1,Perbankan,209150,2,Nominal rendah
683,29,0,Konsultan Perencanaan Wilayah,100000,2,Nominal rendah
688,29,0,Retail,212500,2,Nominal rendah
689,29,1,Karyawan,2200,2,Nominal rendah
690,29,1,Keuangan,130000,2,Nominal rendah
692,29,1,Property Manjemen,64103,2,Nominal rendah
693,29,1,Property Manjemen,300000,2,Nominal rendah
694,29,0,Amil,172695,2,Nominal rendah
698,29,0,Tutor,119000,2,Nominal rendah
701,29,1,Perbankan,175150,2,Nominal rendah
704,29,0,Tutor,109750,2,Nominal rendah
706,29,0,Karyawan,123000,2,Nominal rendah
708,29,0,Pertambangan,200000,2,Nominal rendah
712,29,0,Amil,198600,2,Nominal rendah
713,29,0,Amil,168320,2,Nominal rendah
716,29,1,Property Manjemen,273189,2,Nominal rendah
717,29,1,Property Manjemen,187500,2,Nominal rendah
718,29,0,Tutor,171250,2,Nominal rendah
719,29,1,Karyawan,5000,1,Nominal rendah
720,29,1,Karyawan,10000,1,Nominal rendah
721,29,1,Pelajar,300000,1,Nominal rendah
722,29,1,Perbankan,188750,1,Nominal rendah
724,29,0,Rektor,1000000,1,Nominal rendah
725,29,0,Retail,235000,1,Nominal rendah
728,29,1,Amil,45000,1,Nominal rendah
731,29,0,Konsultan Perencanaan Wilayah,150000,1,Nominal rendah
733,29,0,Mahasiswa,45000,1,Nominal rendah
734,29,1,Mahasiswi,453750,1,Nominal rendah
736,29,0,Mahasiswa,5000,1,Nominal rendah
737,29,1,Pelajar,250000,1,Nominal rendah
743,29,0,Tutor,108000,2,Nominal rendah
744,29,1,Property Manjemen,412937,2,Nominal rendah
745,29,0,Hukum,20000,2,Nominal rendah
750,29,1,Property Manjemen,470386,2,Nominal rendah
751,29,1,Pelajar,200000,0,Nominal rendah
752,29,0,Tutor,36000,0,Nominal rendah
753,29,1,Pelajar,225000,0,Nominal rendah
754,29,1,Pelajar,100000,0,Nominal rendah
755,29,1,Perbankan,188750,0,Nominal rendah
756,29,0,Retail,235000,0,Nominal rendah
757,29,0,Amil,181330,0,Nominal rendah
758,29,0,Konsultan Perencanaan Wilayah,105000,0,Nominal rendah
759,29,1,Mahasiswi,225000,0,Nominal rendah
760,29,1,Property Manjemen,779254,0,Nominal rendah
765,30,0,Amil,1,2,Nominal rendah
766,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,436828,2,Nominal rendah
767,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,229179,2,Nominal rendah
768,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,237300,2,Nominal rendah
769,30,1,ASN,390000,2,Nominal rendah
770,30,0,ASN,1126250,2,Nominal rendah
771,30,0,Konsultan,190326,2,Nominal rendah
772,30,0,Kesehatan,237950,2,Nominal rendah
773,30,0,Amil,587500,2,Nominal rendah
774,30,0,Amil,181019,2,Nominal rendah
775,30,1,Jasa Konsultasi Perpajakan,637500,2,Nominal rendah
778,30,0,Pelayanan Jasa,125000,2,Nominal rendah
779,30,0,Amil,25,2,Nominal rendah
780,30,1,ASN,365000,2,Nominal rendah
784,30,1,Perhotelan,150000,2,Nominal rendah
785,30,0,Kesehatan,5000,2,Nominal rendah
787,30,1,ASN,340000,2,Nominal rendah
788,30,0,Konsultan,177205,2,Nominal rendah
